,Unnamed: 0,X,Y,B,G,R,Gx,Gy
28235,238519,15,91,43,84,121,0.0,0.0
22702,257188,5,16,83,66,181,0.0,0.0
22126,537347,43,66,74,110,95,0.0,0.0
36712,6602,74,15,248,173,0,0.03014605954138166,-0.015067403328270003
7517,206261,89,49,207,146,0,0.0,0.0
2699,445178,9,38,81,72,206,0.0,0.0
9002,50062,7,2,77,54,151,0.0,0.0
5458,402091,73,39,211,134,0,0.0,0.0
20626,225720,86,64,132,137,0,0.0,0.0
14082,124114,56,50,128,112,68,0.0,0.0
613,7647,77,75,31,169,0,0.0,0.0
4126,465906,19,22,104,78,169,0.0,0.0
3011,457457,33,45,94,89,140,0.0,0.0
14520,4714,47,14,179,111,40,0.0,0.0
225,16423,65,56,137,103,69,0.0,0.0
36786,6676,40,47,54,79,176,-0.08000000000000003,0.08000000000000003
2354,531571,84,83,50,186,0,0.0,0.0
25178,219642,24,58,76,82,183,0.0,0.0
33560,3450,45,46,89,92,7,-0.06157568056677825,-0.10335206051617353
32680,2570,26,25,72,72,170,-0.03826297667586875,0.09632405027258556
24716,162363,44,11,173,109,50,0.0,0.0
37109,6999,42,40,117,83,18,0.03088667636830605,-0.03088667636830605
35788,5678,31,36,110,80,123,0.0927510698353074,0.01842431943322176
1526,404609,98,57,178,143,0,0.0,0.0
25884,376341,12,5,85,64,156,0.0,0.0
11061,252586,57,86,43,158,0,0.0,0.0
10321,27976,83,60,142,135,0,0.0,0.0
19178,582747,2,99,40,82,104,0.0,0.0
5983,148370,2,90,46,84,129,0.0,0.0
30363,253,76,66,116,111,0,0.0,-0.1287068006749893
14726,121157,26,93,41,110,68,0.0,0.0
7413,251671,48,71,68,121,66,0.0,0.0
16976,200914,35,90,49,120,33,0.0,0.0
16143,554005,11,73,57,84,176,0.0,0.0
21614,209695,24,4,115,72,78,0.0,0.0
25969,571489,89,13,252,200,0,0.0,0.0
27429,164260,64,15,245,151,0,0.0,0.0
5380,93645,48,9,190,111,22,0.0,0.0
7184,541664,87,4,254,201,0,0.0,0.0
3965,305298,92,66,128,146,0,0.0,0.0
19410,18489,87,45,216,146,0,0.0,0.0
6844,135085,68,65,121,117,0,0.0,0.0
32301,2191,45,32,111,105,178,0.016733781794646463,0.06712694158311132
18225,22844,31,0,121,81,68,0.0,0.0
3484,171223,33,99,26,123,0,0.0,0.0
11408,230528,34,72,64,100,117,0.0,0.0
3415,77537,85,40,231,152,0,0.0,0.0
26404,342660,70,12,83,78,63,0.0,0.0
169,556223,34,98,30,124,0,0.0,0.0
3034,8518,86,46,210,143,0,0.0,0.0
20924,381400,63,92,31,177,0,0.0,0.0
5428,15641,57,69,78,127,62,0.0,0.0
33422,3312,70,12,223,149,0,-0.016733781794646463,-0.06712694158311132
25392,487378,37,66,45,112,3,-0.0,-0.0
29620,122500,40,36,125,96,127,0.0,0.0
11447,417586,29,62,68,91,144,0.0,0.0
23597,565901,33,20,153,95,1,0.0,-0.0
18839,268406,18,62,67,88,201,0.0,0.0
14491,351281,57,61,97,125,42,0.0,0.0
11145,509182,57,10,225,133,0,0.0,0.0
16521,45691,63,31,211,127,0,0.0,0.0
36078,5968,75,44,59,95,0,-0.06712694158311132,-0.016733781794646463
15760,383720,87,12,252,198,0,0.0,0.0
29503,416954,23,30,105,88,171,0.0,0.0
25170,272941,65,25,252,159,0,0.0,0.0
15354,187670,1,2,73,57,135,0.0,0.0
35032,4922,33,43,106,74,124,0.1287068006749893,0.0
