X,Y,B,G,R,Gx,Gy
71,63,121,90,46,0.04715256350368319,-0.015699044804238282
71,64,112,93,49,0.03014605954138166,-0.015067403328270003
71,65,107,94,48,0.014723162687942437,-0.014723162687942437
71,66,95,96,42,0.0,-0.014613556019536122
71,67,90,99,36,-0.014723162687942437,-0.014723162687942437
71,68,76,104,26,-0.03014605954138166,-0.015067403328270003
71,69,68,108,19,-0.04715256350368319,-0.015699044804238282
71,70,56,116,11,-0.06712694158311132,-0.016733781794646463
71,71,50,122,5,-0.0927510698353074,-0.01842431943322176
71,72,37,133,0,-0.1308992675592447,-0.0214106195359553
72,60,146,91,13,0.13826517935484947,-0.04511221032887475
72,61,139,88,14,0.09632405027258556,-0.03826297667586875
72,62,134,90,16,0.06920142621660752,-0.03451121964800863
72,63,131,93,20,0.048418578457614166,-0.032252644421814865
72,64,122,95,21,0.03088667636830605,-0.03088667636830605
72,65,118,98,22,0.015067403328270003,-0.03014605954138166
72,66,105,98,17,0.0,-0.029910794252010212
72,67,97,100,10,-0.015067403328270003,-0.03014605954138166
72,68,81,107,0,-0.03088667636830605,-0.03088667636830605
72,69,76,114,1,-0.048418578457614166,-0.032252644421814865
72,70,64,121,0,-0.06920142621660752,-0.03451121964800863
72,71,55,129,0,-0.09632405027258556,-0.03826297667586875
72,72,40,137,0,-0.13826517935484947,-0.04511221032887475
73,61,139,86,5,0.10335206051617353,-0.061575680566778264
73,62,135,89,7,0.07313727383716523,-0.05474926718086332
73,63,128,90,8,0.05077710678338576,-0.05077710678338576
73,64,122,94,13,0.032252644421814865,-0.048418578457614166
73,65,114,93,12,0.015699044804238282,-0.04715256350368319
73,66,103,97,10,0.0,-0.0467521999912377
73,67,98,100,5,-0.015699044804238282,-0.04715256350368319
73,68,88,109,1,-0.032252644421814865,-0.048418578457614166
73,69,81,118,1,-0.05077710678338576,-0.05077710678338576
73,70,65,125,0,-0.07313727383716523,-0.05474926718086332
73,71,56,132,0,-0.10335206051617353,-0.061575680566778264
74,62,139,89,0,0.08000000000000003,-0.08000000000000003
74,63,133,91,0,0.05474926718086332,-0.07313727383716523
74,64,125,94,0,0.03451121964800863,-0.06920142621660752
74,65,120,98,0,0.016733781794646463,-0.06712694158311132
74,66,110,103,0,0.0,-0.06647615158762404
74,67,107,111,0,-0.016733781794646463,-0.06712694158311132
74,68,91,119,0,-0.03451121964800863,-0.06920142621660752
74,69,83,126,0,-0.05474926718086332,-0.07313727383716523
74,70,70,133,0,-0.08000000000000003,-0.08000000000000003
75,63,135,95,0,0.061575680566778264,-0.10335206051617353
75,64,125,97,0,0.03826297667586875,-0.09632405027258556
75,65,123,101,0,0.01842431943322176,-0.0927510698353074
75,66,110,106,0,0.0,-0.09164721253127672
75,67,107,114,0,-0.01842431943322176,-0.0927510698353074
75,68,92,122,0,-0.03826297667586875,-0.09632405027258556
75,69,85,128,0,-0.061575680566778264,-0.10335206051617353
76,64,129,101,0,0.04511221032887475,-0.13826517935484947
76,65,123,106,0,0.0214106195359553,-0.1308992675592447
76,66,116,111,0,0.0,-0.1287068006749893
76,67,111,118,0,-0.0214106195359553,-0.1308992675592447
76,68,96,126,0,-0.04511221032887475,-0.13826517935484947
54,36,69,56,127,0.04511221032887475,0.13826517935484947
54,37,64,58,128,0.0214106195359553,0.1308992675592447
54,38,56,55,130,0.0,0.1287068006749893
54,39,57,62,134,-0.0214106195359553,0.1308992675592447
54,40,53,68,135,-0.04511221032887475,0.13826517935484947
55,35,86,64,124,0.061575680566778264,0.10335206051617353
55,36,76,64,127,0.03826297667586875,0.09632405027258556
55,37,71,64,129,0.01842431943322176,0.0927510698353074
55,38,62,62,132,0.0,0.09164721253127672
55,39,58,65,133,-0.01842431943322176,0.0927510698353074
55,40,53,71,134,-0.03826297667586875,0.09632405027258556
55,41,52,76,132,-0.061575680566778264,0.10335206051617353
56,34,105,74,115,0.08000000000000003,0.08000000000000003
56,35,96,73,118,0.05474926718086332,0.07313727383716523
56,36,87,72,122,0.03451121964800863,0.06920142621660752
56,37,78,70,122,0.016733781794646463,0.06712694158311132
56,38,68,71,126,0.0,0.06647615158762404
56,39,60,72,125,-0.016733781794646463,0.06712694158311132
56,40,49,73,123,-0.03451121964800863,0.06920142621660752
56,41,50,79,124,-0.05474926718086332,0.07313727383716523
56,42,45,81,119,-0.08000000000000003,0.08000000000000003
